,Date,Lead.Contract,CL0,CL1,CL2,CL3,CL4,CL0.value,CL1.value,CL2.value,CL3.value,CL4.value
5161,20101015,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,27.4,24.78,22.18,20.87,19.87
5162,20101018,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,27.46,24.77,22.16,20.77,19.8
5163,20101019,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.36,25.57,22.77,21.27,20.2
5164,20101020,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.9,26.09,23.3,21.92,20.95
5165,20101021,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.73,26.02,23.28,21.93,21.01
5166,20101022,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.2,25.63,23.12,21.8,20.88
5167,20101025,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.47,26.09,23.65,22.36,21.38
5168,20101026,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.05,25.86,23.62,22.33,21.41
5169,20101027,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.64,26.33,24.03,22.54,21.6
5170,20101028,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,29.28,27.01,24.73,23.18,22.1
5171,20101029,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,29.16,26.96,24.7,23.12,22.19
5172,20101101,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,29.34,27.17,24.94,23.35,22.31
5173,20101102,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,30.09,27.83,25.41,23.79,22.63
5174,20101103,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,29.76,27.55,25.14,23.55,22.52
5175,20101104,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.5,29.12,26.4,24.67,23.55
5176,20101105,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.67,29.12,26.23,24.49,23.4
5177,20101108,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,31.95,29.36,26.39,24.57,23.18
5178,20101109,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.95,30.13,27.03,24.9,23.39
5179,20101110,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,32.35,29.7,26.71,24.69,23.15
5180,20101111,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,30.65,28,24.85,23.39,21.89
5181,20101112,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,26.32,23.98,21.3,19.72,19.25
5182,20101115,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,27.01,24.45,21.69,20.18,19.4
5183,20101116,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,26.4,23.81,21.02,19.6,18.95
5184,20101117,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,26.55,24.01,21.3,19.99,19.35
5185,20101118,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,28.43,25.81,23.15,21.65,20.87
5186,20101119,SBAH11.b01,SBAH11.b01,SBAK11.b01,SBAN11.b01,SBAV11.b01,SBAH12.b01,26.71,24.28,21.77,20.35,19.56
