"","EK"
"2000-03-01",4.4711014176663
"2000-03-02",0
"2000-03-03",-0.417536534446764
"2000-03-06",-2.93501048218029
"2000-03-07",-3.99568034557235
"2000-03-08",1.5748031496063
"2000-03-09",-2.6578073089701
"2000-03-10",-1.70648464163823
"2000-03-13",0.810185185185185
"2000-03-14",-0.803673938002296
"2000-03-15",2.08333333333333
"2000-03-16",5.4421768707483
"2000-03-17",-1.18279569892473
"2000-03-20",0.544069640914037
"2000-03-21",0
"2000-03-22",-2.92207792207792
"2000-03-23",0.334448160535117
"2000-03-24",1.55555555555556
"2000-03-27",-2.62582056892779
"2000-03-28",-0.898876404494382
"2000-03-29",-0.566893424036281
"2000-03-30",1.48232611174458
"2000-03-31",-2.35955056179775
"2000-04-03",6.21403912543153
"2000-04-04",4.44203683640303
"2000-04-05",-0.4149377593361
"2000-04-06",1.66666666666667
"2000-04-07",1.22950819672131
"2000-04-10",1.82186234817814
"2000-04-11",-1.39165009940358
"2000-04-12",2.21774193548387
"2000-04-13",-1.57790927021696
"2000-04-14",-1.40280561122244
"2000-04-17",0.508130081300813
"2000-04-18",-5.35894843276036
"2000-04-19",1.28205128205128
"2000-04-20",-1.26582278481013
"2000-04-24",-1.28205128205128
"2000-04-25",2.5974025974026
"2000-04-26",-2.53164556962025
"2000-04-27",-0.649350649350649
"2000-04-28",-1.74291938997821
"2000-05-01",-0.554323725055432
"2000-05-02",-1.00334448160535
"2000-05-03",-1.91441441441441
"2000-05-04",-0.34443168771527
"2000-05-05",0.576036866359447
"2000-05-08",-1.83276059564719
"2000-05-09",0
"2000-05-10",0.816802800466744
"2000-05-11",2.66203703703704
"2000-05-12",1.24013528748591
"2000-05-15",2.00445434298441
"2000-05-16",-0.436681222707424
"2000-05-17",1.31578947368421
"2000-05-18",-0.757575757575758
"2000-05-19",-0.436205016357688
"2000-05-22",-0.657174151150055
"2000-05-23",1.54355016538037
"2000-05-24",1.73724212812161
"2000-05-25",-1.06723585912487
"2000-05-26",3.23624595469256
"2000-05-30",2.08986415882968
"2000-05-31",-2.14943705220061
"2000-06-01",0.836820083682008
"2000-06-02",-0.518672199170124
"2000-06-05",-0.72992700729927
"2000-06-06",-1.60188235294117
"2000-06-07",-1.68135347263595
"2000-06-08",-0.434310532030402
"2000-06-09",-0.654307524536532
"2000-06-12",2.30515916575192
"2000-06-13",0.858369098712446
"2000-06-14",2.5531914893617
"2000-06-15",0.933609958506224
"2000-06-16",-2.36382322713258
"2000-06-19",-0.105263157894737
"2000-06-20",-2.21285563751317
"2000-06-21",0.754310344827586
"2000-06-22",-0.962566844919786
"2000-06-23",2.05183585313175
"2000-06-26",2.22222222222222
"2000-06-27",-0.31055900621118
"2000-06-28",0.103842159916926
"2000-06-29",0.20746887966805
"2000-06-30",-1.44927536231884
"2000-07-03",1.05042016806723
"2000-07-05",0.311850311850312
"2000-07-06",0.518134715025907
"2000-07-07",0.309278350515464
"2000-07-10",0.411099691675231
"2000-07-11",-1.02354145342886
"2000-07-12",-0.413650465356774
"2000-07-13",-0.311526479750779
"2000-07-14",1.875
"2000-07-17",-0.204498977505113
"2000-07-18",-3.48360655737705
"2000-07-19",0.318471337579618
"2000-07-20",1.37566137566138
"2000-07-21",-3.13152400835073
"2000-07-24",-3.87931034482759
"2000-07-25",-0.224215246636771
"2000-07-26",-1.12359550561798
"2000-07-27",0
"2000-07-28",0.340909090909091
"2000-07-31",-0.566251415628539
"2000-08-01",4.89749430523918
"2000-08-02",0.325732899022801
"2000-08-03",0
"2000-08-04",-1.40692640692641
"2000-08-07",2.08562019758507
"2000-08-08",4.08602150537634
"2000-08-09",0.826446280991736
"2000-08-10",0.717213114754098
"2000-08-11",0.406917599186165
"2000-08-14",2.33029381965552
"2000-08-15",-0.099009900990099
"2000-08-16",0.693756194251734
"2000-08-17",2.95275590551181
"2000-08-18",-0.956022944550669
"2000-08-21",-1.15830115830116
"2000-08-22",1.07421875
"2000-08-23",-1.15942028985507
"2000-08-24",0.586510263929619
"2000-08-25",1.26336248785228
"2000-08-28",-1.72744721689059
"2000-08-29",-1.46484375
"2000-08-30",-0.991080277502478
"2000-08-31",-0.3003003003003
"2000-09-01",0.803212851405622
"2000-09-05",0.697211155378486
"2000-09-06",-1.18694362017804
"2000-09-07",0.800800800800801
"2000-09-08",0.099304865938431
"2000-09-11",-1.58730158730159
"2000-09-12",-0.806451612903226
"2000-09-13",-0.813008130081301
"2000-09-14",3.07377049180328
"2000-09-15",-0.099403578528827
"2000-09-18",-3.28358208955224
"2000-09-19",-0.617283950617284
"2000-09-20",-2.0703933747412
"2000-09-21",-2.11416490486258
"2000-09-22",0.647948164146868
"2000-09-25",1.28755364806867
"2000-09-26",-24.7881355932203
"2000-09-27",-4.08450704225352
"2000-09-28",-3.08370044052863
"2000-09-29",-0.909090909090909
"2000-10-02",1.07033639143731
"2000-10-03",0
"2000-10-04",-1.96671709531014
"2000-10-05",-0.308641975308642
"2000-10-06",-2.32198142414861
"2000-10-09",2.06022187004754
"2000-10-10",0
"2000-10-11",0.93167701863354
"2000-10-12",-2.76923076923077
"2000-10-13",-1.42405063291139
"2000-10-16",-0.321027287319422
"2000-10-17",-6.11916264090177
"2000-10-18",4.97427101200686
"2000-10-19",-3.26797385620915
"2000-10-20",1.35135135135135
"2000-10-23",4.16666666666667
"2000-10-24",1.12
"2000-10-25",2.84810126582278
"2000-10-26",2.30769230769231
"2000-10-27",1.50375939849624
"2000-10-30",5.18518518518519
"2000-10-31",1.12676056338028
"2000-11-01",0.696378830083565
"2000-11-02",3.59612724757953
"2000-11-03",-0.133511348464619
"2000-11-06",0.133689839572192
"2000-11-07",2.26969292389853
"2000-11-08",-0.783289817232376
"2000-11-09",0.526315789473684
"2000-11-10",-1.43979057591623
"2000-11-13",-0.398406374501992
"2000-11-14",0.4
"2000-11-15",1.46082337317397
"2000-11-16",-1.96335078534031
"2000-11-17",-1.60213618157543
"2000-11-20",-4.47761194029851
"2000-11-21",0
"2000-11-22",-0.426136363636364
"2000-11-24",0.855920114122682
"2000-11-27",-0.565770862800566
"2000-11-28",-4.97866287339972
"2000-11-29",1.94610778443114
"2000-11-30",-1.3215859030837
"2000-12-01",-2.5297619047619
"2000-12-04",1.6793893129771
"2000-12-05",-2.55255255255255
"2000-12-06",-5.70107858243451
"2000-12-07",3.10457516339869
"2000-12-08",-1.10935023771791
"2000-12-11",1.44230769230769
"2000-12-12",3.7914691943128
"2000-12-13",-3.65296803652968
"2000-12-14",-1.57977883096366
"2000-12-15",-1.92616372391653
"2000-12-18",0.654664484451719
"2000-12-19",-2.11382113821138
"2000-12-20",-0.996677740863787
"2000-12-21",3.85906040268456
"2000-12-22",0.484652665589661
"2000-12-26",-2.41157556270096
"2000-12-27",2.47116968698517
"2000-12-28",3.37620578778135
"2000-12-29",-2.02177293934681
"2001-01-02",-2.22222222222222
"2001-01-03",5.19480519480519
"2001-01-04",7.87037037037037
"2001-01-05",-3.86266094420601
"2001-01-08",-3.27380952380952
"2001-01-09",2.46153846153846
"2001-01-10",-0.3003003003003
"2001-01-11",0.602409638554217
