Dates,Daily.Returns,200.MA,Close,200.D.MA.Price,50.D.MA.Price,100.D.MA.Price
08/11/11,0.012,0.0023,1275.920044,1273.048,1197.531404,1228.896903
09/11/11,-0.037,-0.0345,1229.099976,1272.972,1198.848206,1228.941104
10/11/11,0.009,-0.0259,1239.699951,1272.634,1199.171804,1228.448503
11/11/11,0.019,-0.0067,1263.849976,1272.335,1199.588003,1227.890303
14/11/11,-0.01,-0.0161,1251.780029,1272.272,1200.776602,1227.657402
15/11/11,0.005,-0.0112,1257.810059,1272.101,1202.332803,1227.340203
16/11/11,-0.017,-0.0275,1236.910034,1271.852,1204.184204,1227.233804
17/11/11,-0.017,-0.0436,1216.130005,1271.516,1204.950005,1226.801904
18/11/11,0,-0.0436,1215.650024,1271.061,1205.554605,1225.996504
21/11/11,-0.019,-0.0611,1192.97998,1270.585,1206.783005,1225.078904
22/11/11,-0.004,-0.0645,1188.040039,1269.955,1207.397205,1223.802303
23/11/11,-0.022,-0.0847,1161.790039,1269.272,1207.700605,1222.286003
25/11/11,-0.003,-0.0866,1158.670044,1268.477,1207.162805,1220.525104
28/11/11,0.029,-0.0593,1192.550049,1267.661,1206.154006,1218.719605
29/11/11,0.002,-0.0567,1195.189941,1266.978,1205.684807,1217.112905
30/11/11,0.043,-0.0153,1246.959961,1266.292,1205.506807,1215.626804
01/12/11,-0.002,-0.0168,1244.579956,1265.887,1206.404207,1214.901504
02/12/11,0,-0.0167,1244.280029,1265.428,1207.960605,1214.210903
05/12/11,0.01,-0.0062,1257.079956,1264.948,1210.255005,1213.476504
06/12/11,0.001,-0.0048,1258.469971,1264.518,1212.668003,1212.958604
07/12/11,0.002,-0.0025,1261.01001,1264.233,1214.578403,1212.381903
08/12/11,-0.021,-0.0235,1234.349976,1264.001,1216.291003,1211.937604
09/12/11,0.017,-0.0067,1255.189941,1263.642,1217.956802,1211.013804
12/12/11,-0.015,-0.0213,1236.469971,1263.319,1219.8526,1210.307303
13/12/11,-0.009,-0.0294,1225.72998,1262.865,1221.953599,1209.234003
14/12/11,-0.011,-0.0401,1211.819946,1262.462,1224.483599,1208.041102
15/12/11,0.003,-0.0366,1215.75,1261.979,1226.240999,1206.785001
16/12/11,0.003,-0.0331,1219.660034,1261.403,1227.675398,1205.623102
19/12/11,-0.012,-0.0441,1205.349976,1260.895,1228.769199,1204.770802
20/12/11,0.03,-0.0151,1241.300049,1260.372,1229.766999,1203.817601
21/12/11,0.002,-0.0129,1243.719971,1259.969,1230.6952,1203.307802
22/12/11,0.008,-0.0044,1254,1259.587,1231.658799,1202.875602
23/12/11,0.009,0.0047,1265.329956,1259.382,1232.593799,1202.875101
27/12/11,0,0.005,1265.430054,1259.187,1233.827197,1202.925001
28/12/11,-0.012,-0.0075,1249.640015,1259.032,1234.644199,1203.578602
29/12/11,0.011,0.0033,1263.02002,1258.871,1235.6198,1204.081202
30/12/11,-0.004,-0.001,1257.599976,1258.902,1236.3726,1205.516803
03/01/12,0.015,0.0145,1277.060059,1258.821,1237.327,1206.367502
