,Dates,Daily.Returns,Close,,Dates,Daily.Returns,Close
,,,,,01/07/99,0.006,1380.959961
,,,,,02/07/99,0.007,1391.219971
,,,,,06/07/99,-0.002,1388.119995
,,,,,07/07/99,0.006,1395.859985
,,,,,08/07/99,-0.001,1394.420044
,,,,,09/07/99,0.006,1403.280029
,,,,,12/07/99,-0.003,1399.099976
,,,,,13/07/99,-0.004,1393.560059
,,,,,14/07/99,0.003,1398.170044
,,,,,15/07/99,0.008,1409.619995
,,,,,16/07/99,0.006,1418.780029
,,,,,19/07/99,-0.008,1407.650024
,,,,,20/07/99,-0.022,1377.099976
,,,,,21/07/99,0.002,1379.290039
,,,,,22/07/99,-0.013,1360.969971
,,,,,23/07/99,-0.003,1356.939941
,,,,,26/07/99,-0.007,1347.76001
,,,,,27/07/99,0.011,1362.839966
,,,,,28/07/99,0.002,1365.400024
,,,,,29/07/99,-0.018,1341.030029
,,,,,30/07/99,-0.009,1328.719971
,,,,,02/08/99,-0.001,1328.050049
,,,,,03/08/99,-0.004,1322.180054
,,,,,04/08/99,-0.013,1305.329956
,,,,,05/08/99,0.006,1313.709961
,,,,,06/08/99,-0.01,1300.290039
,,,,,09/08/99,-0.002,1297.800049
,,,,,10/08/99,-0.013,1281.430054
,,,,,11/08/99,0.016,1301.930054
,,,,,12/08/99,-0.003,1298.160034
,,,,,13/08/99,0.023,1327.680054
,,,,,16/08/99,0.002,1330.77002
,,,,,17/08/99,0.01,1344.160034
,,,,,18/08/99,-0.008,1332.839966
,,,,,19/08/99,-0.007,1323.589966
,,,,,20/08/99,0.01,1336.609985
,,,,,23/08/99,0.018,1360.219971
,,,,,24/08/99,0.002,1363.5
,,,,,25/08/99,0.013,1381.790039
,,,,,26/08/99,-0.014,1362.01001
,,,,,27/08/99,-0.01,1348.27002
,,,,,30/08/99,-0.018,1324.02002
,,,,,31/08/99,-0.003,1320.410034
,,,,,01/09/99,0.008,1331.069946
,,,,,02/09/99,-0.009,1319.109985
,,,,,03/09/99,0.029,1357.23999
,,,,,07/09/99,-0.005,1350.449951
,,,,,08/09/99,-0.005,1344.150024
,,,,,09/09/99,0.003,1347.660034
,,,,,10/09/99,0.003,1351.660034
,,,,,13/09/99,-0.006,1344.130005
,,,,,14/09/99,-0.006,1336.290039
,,,,,15/09/99,-0.014,1317.969971
,,,,,16/09/99,0,1318.47998
,,,,,17/09/99,0.013,1335.420044
,,,,,20/09/99,0,1335.530029
,,,,,21/09/99,-0.021,1307.579956
,,,,,22/09/99,0.002,1310.51001
,,,,,23/09/99,-0.023,1280.410034
,,,,,24/09/99,-0.002,1277.359985
,,,,,27/09/99,0.005,1283.310059
,,,,,28/09/99,-0.001,1282.199951
,,,,,29/09/99,-0.011,1268.369995
,,,,,30/09/99,0.011,1282.709961
,,,,,01/10/99,0,1282.810059
,,,,,04/10/99,0.017,1304.599976
,,,,,05/10/99,-0.002,1301.349976
,,,,,06/10/99,0.018,1325.400024
,,,,,07/10/99,-0.006,1317.640015
,,,,,08/10/99,0.014,1336.02002
,,,,,11/10/99,-0.001,1335.209961
,,,,,12/10/99,-0.017,1313.040039
,,,,,13/10/99,-0.021,1285.550049
,,,,,14/10/99,-0.002,1283.420044
,,,,,15/10/99,-0.028,1247.410034
,,,,,18/10/99,0.005,1254.130005
,,,,,19/10/99,0.006,1261.319946
,,,,,20/10/99,0.022,1289.430054
,,,,,21/10/99,-0.005,1283.609985
,,,,,22/10/99,0.014,1301.650024
,,,,,25/10/99,-0.006,1293.630005
,,,,,26/10/99,-0.009,1281.910034
,,,,,27/10/99,0.012,1296.709961
,,,,,28/10/99,0.035,1342.439941
,,,,,29/10/99,0.015,1362.930054
,,,,,01/11/99,-0.006,1354.119995
,,,,,02/11/99,-0.005,1347.73999
,,,,,03/11/99,0.005,1354.930054
,,,,,04/11/99,0.006,1362.640015
,,,,,05/11/99,0.006,1370.22998
,,,,,08/11/99,0.005,1377.01001
,,,,,09/11/99,-0.009,1365.280029
,,,,,10/11/99,0.006,1373.459961
,,,,,11/11/99,0.006,1381.459961
,,,,,12/11/99,0.011,1396.060059
,,,,,15/11/99,-0.001,1394.390015
,,,,,16/11/99,0.018,1420.069946
,,,,,17/11/99,-0.007,1410.709961
,,,,,18/11/99,0.01,1424.939941
