"","Dates","Daily.Returns","X200.MA","Close","X200.D.MA.Price","X50.D.MA.Price","X100.D.MA.Price"
"3622","14/06/2005",0.003,0.0295,1203.910034,1169.445,1176.313599,1184.459501
"3626","20/06/2005",-0.001,0.038,1216.099976,1171.552,1178.427397,1186.089199
"3630","24/06/2005",-0.008,0.0155,1191.569946,1173.426,1180.834597,1187.519899
"3634","30/06/2005",-0.007,0.014,1191.329956,1174.862,1184.439592,1187.601497
"3679","02/09/2005",-0.003,0.0185,1218.02002,1195.846,1220.005593,1200.150696
"3683","09/09/2005",0.008,0.0373,1241.47998,1196.877,1222.703198,1203.100696
"3687","15/09/2005",0,0.0248,1227.72998,1197.98,1225.699001,1206.481196
"3691","21/09/2005",-0.009,0.0095,1210.199951,1198.836,1227.576804,1209.525897
"3695","27/09/2005",0,0.0135,1215.660034,1199.418,1226.693203,1211.524996
"3744","06/12/2005",0.001,0.0484,1263.699951,1205.396,1218.25,1222.594502
"3748","12/12/2005",0.001,0.0446,1260.430054,1206.645,1221.458396,1223.821301
"3752","16/12/2005",-0.003,0.0493,1267.319946,1207.83,1225.561797,1225.3276
"3756","22/12/2005",0.004,0.0492,1268.119995,1208.709,1231.362998,1226.3237
"3760","29/12/2005",-0.003,0.0368,1254.420044,1209.896,1237.769001,1227.3242
"3801","01/03/2006",0.008,0.0482,1291.23999,1231.861,1274.110007,1249.090403
"3805","07/03/2006",-0.002,0.0338,1275.880005,1234.195,1275.871409,1252.838003
"3809","13/03/2006",0.002,0.039,1284.130005,1235.894,1276.909206,1256.658403
"3813","17/03/2006",0.001,0.056,1307.25,1237.954,1280.114802,1261.140002
"3817","23/03/2006",-0.003,0.0497,1301.670044,1240.027,1281.956003,1265.617102
"3821","29/03/2006",0.007,0.049,1302.890015,1242.069,1282.794402,1269.740901
"3866","02/06/2006",0.002,0.023,1288.219971,1259.216,1296.193198,1288.925701
"3870","08/06/2006",0.001,-0.0018,1257.930054,1260.192,1293.437998,1288.06
"3874","14/06/2006",0.005,-0.0244,1230.040039,1260.742,1289.040398,1286.438498
"3878","20/06/2006",0,-0.0169,1240.119995,1261.401,1284.110996,1285.6487
"3882","26/06/2006",0.005,-0.0089,1250.560059,1261.766,1280.423196,1284.244701
"3886","30/06/2006",-0.002,0.0064,1270.199951,1262.085,1276.762595,1283.507501
"3931","05/09/2006",0.002,0.0282,1313.25,1277.19,1272.869402,1277.082499
"3935","11/09/2006",0,0.0166,1299.540039,1278.337,1277.393203,1277.4485
"3939","15/09/2006",0.003,0.0315,1319.660034,1279.309,1280.447605,1277.5096
"3943","21/09/2006",-0.005,0.0293,1318.030029,1280.543,1284.534209,1278.071401
